PassageiroId,FaixaEtaria,Classe,PortoEmbarqueNum,ParentesIrmao,ParentesFilhos,SexoNum,SaudacaoNum,PassagemPreco,FamiliaQtde,EstaSozinho,TemCabine,Sobreviventes
52,6.0,3,1,0,0,1,0,7.8,0,1.0,0.0,0
53,11.0,1,2,1,0,0,1,76.7292,1,0.0,1.0,1
54,7.0,2,1,1,0,0,1,26.0,1,0.0,0.0,1
55,15.0,1,2,0,1,1,0,61.9792,1,0.0,1.0,0
57,6.0,2,1,0,0,0,2,10.5,0,1.0,0.0,1
58,7.0,3,2,0,0,1,0,7.2292,0,1.0,0.0,0
59,3.0,2,1,1,2,0,2,27.75,3,0.0,0.0,1
60,4.0,3,1,5,2,1,3,46.9,7,0.0,0.0,0
61,6.0,3,2,0,0,1,0,7.2292,0,1.0,0.0,0
62,9.0,1,4,0,0,0,2,80.0,0,1.0,1.0,1
63,11.0,1,1,1,0,1,0,83.475,1,0.0,1.0,0
64,2.0,3,1,3,2,1,3,27.9,5,0.0,0.0,0
67,7.0,2,1,0,0,0,1,10.5,0,1.0,1.0,1
68,5.0,3,1,0,0,1,0,8.1583,0,1.0,0.0,0
69,5.0,3,1,4,2,0,2,7.925,6,0.0,0.0,1
70,7.0,3,1,2,0,1,0,8.6625,2,0.0,0.0,0
71,8.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
72,5.0,3,1,5,2,0,2,46.9,7,0.0,0.0,0
73,6.0,2,1,0,0,1,0,73.5,0,1.0,0.0,0
74,7.0,3,2,1,0,1,0,14.4542,1,0.0,0.0,0
75,8.0,3,1,0,0,1,0,56.4958,0,1.0,0.0,1
76,7.0,3,1,0,0,1,0,7.65,0,1.0,1.0,0
79,1.0,2,1,0,2,1,3,29.0,2,0.0,0.0,1
80,8.0,3,1,0,0,0,2,12.475,0,1.0,0.0,1
81,6.0,3,1,0,0,1,0,9.0,0,1.0,0.0,0
82,7.0,3,1,0,0,1,0,9.5,0,1.0,0.0,1
84,7.0,1,1,0,0,1,0,47.1,0,1.0,0.0,0
85,5.0,2,1,0,0,0,2,10.5,0,1.0,0.0,1
86,8.0,3,1,3,0,0,1,15.85,3,0.0,0.0,1
87,5.0,3,1,1,3,1,0,34.375,4,0.0,0.0,0
89,6.0,1,1,3,2,0,2,263.0,5,0.0,1.0,1
90,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
91,7.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
92,6.0,3,1,0,0,1,0,7.8542,0,1.0,0.0,0
93,11.0,1,1,1,0,1,0,61.175,1,0.0,1.0,0
94,7.0,3,1,1,2,1,0,20.575,3,0.0,0.0,0
95,13.0,3,1,0,0,1,0,7.25,0,1.0,0.0,0
97,16.0,1,2,0,0,1,0,34.6542,0,1.0,1.0,0
98,6.0,1,2,0,1,1,0,63.3583,1,0.0,1.0,1
99,8.0,2,1,0,1,0,1,23.0,1,0.0,0.0,1
100,8.0,2,1,1,0,1,0,26.0,1,0.0,0.0,0
101,7.0,3,1,0,0,0,2,7.8958,0,1.0,0.0,0
103,6.0,1,1,0,1,1,0,77.2875,1,0.0,1.0,0
104,8.0,3,1,0,0,1,0,8.6542,0,1.0,0.0,0
105,9.0,3,1,2,0,1,0,7.925,2,0.0,0.0,0
106,7.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
107,6.0,3,1,0,0,0,2,7.65,0,1.0,0.0,1
109,9.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
111,11.0,1,1,0,0,1,0,52.0,0,1.0,1.0,0
112,4.0,3,2,1,0,0,2,14.4542,1,0.0,0.0,0
113,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
114,6.0,3,1,1,0,0,2,9.825,1,0.0,0.0,0
115,5.0,3,2,0,0,0,2,14.4583,0,1.0,0.0,0
116,6.0,3,1,0,0,1,0,7.925,0,1.0,0.0,0
117,16.0,3,3,0,0,1,0,7.75,0,1.0,0.0,0
118,7.0,2,1,1,0,1,0,21.0,1,0.0,0.0,0
119,6.0,1,2,0,1,1,0,247.5208,1,0.0,1.0,0
120,2.0,3,1,4,2,0,2,31.275,6,0.0,0.0,0
121,6.0,2,1,2,0,1,0,73.5,2,0.0,0.0,0
123,8.0,2,2,1,0,1,0,30.0708,1,0.0,0.0,0
124,8.0,2,1,0,0,0,2,13.0,0,1.0,1.0,1
125,12.0,1,1,0,1,1,0,77.2875,1,0.0,1.0,0
126,4.0,3,2,1,0,1,3,11.2417,1,0.0,0.0,1
128,6.0,3,1,0,0,1,0,7.1417,0,1.0,0.0,1
130,11.0,3,1,0,0,1,0,6.975,0,1.0,0.0,0
131,8.0,3,2,0,0,1,0,7.8958,0,1.0,0.0,0
132,6.0,3,1,0,0,1,0,7.05,0,1.0,0.0,0
133,11.0,3,1,1,0,0,1,14.5,1,0.0,0.0,0
134,7.0,2,1,1,0,0,1,26.0,1,0.0,0.0,1
135,7.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
136,6.0,2,2,0,0,1,0,15.0458,0,1.0,0.0,0
137,5.0,1,1,0,2,0,2,26.2833,2,0.0,1.0,1
138,9.0,1,1,1,0,1,0,53.1,1,0.0,1.0,0
139,5.0,3,1,0,0,1,0,9.2167,0,1.0,0.0,0
140,6.0,1,2,0,0,1,0,79.2,0,1.0,1.0,0
142,6.0,3,1,0,0,0,2,7.75,0,1.0,0.0,1
143,6.0,3,1,1,0,0,1,15.85,1,0.0,0.0,1
144,5.0,3,3,0,0,1,0,6.75,0,1.0,0.0,0
145,5.0,2,1,0,0,1,0,11.5,0,1.0,0.0,0
146,5.0,2,1,1,1,1,0,36.75,2,0.0,0.0,0
147,7.0,3,1,0,0,1,0,7.7958,0,1.0,0.0,1
148,3.0,3,1,2,2,0,2,34.375,4,0.0,0.0,0
149,9.0,2,1,0,2,1,0,26.0,2,0.0,1.0,0
150,10.0,2,1,0,0,1,5,13.0,0,1.0,0.0,0
151,12.0,2,1,0,0,1,5,12.525,0,1.0,0.0,0
152,6.0,1,1,1,0,0,1,66.6,1,0.0,1.0,1
153,13.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
154,10.0,3,1,0,2,1,0,14.5,2,0.0,0.0,0
156,12.0,1,2,0,1,1,0,61.3792,1,0.0,0.0,0
157,5.0,3,3,0,0,0,2,7.7333,0,1.0,0.0,1
158,8.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
161,10.0,3,1,0,1,1,0,16.1,1,0.0,0.0,0
162,10.0,2,1,0,0,0,1,15.75,0,1.0,0.0,1
163,7.0,3,1,0,0,1,0,7.775,0,1.0,0.0,0
164,5.0,3,1,0,0,1,0,8.6625,0,1.0,0.0,0
165,2.0,3,1,4,1,1,3,39.6875,5,0.0,0.0,0
166,3.0,3,1,0,2,1,3,20.525,2,0.0,0.0,1
168,11.0,3,1,1,4,0,1,27.9,5,0.0,0.0,0
170,7.0,3,1,0,0,1,0,56.4958,0,1.0,0.0,0
171,14.0,1,1,0,0,1,0,33.5,0,1.0,1.0,0
172,2.0,3,3,4,1,1,3,29.125,5,0.0,0.0,0
173,2.0,3,1,1,1,0,2,11.1333,2,0.0,0.0,1
174,6.0,3,1,0,0,1,0,7.925,0,1.0,0.0,0
175,13.0,1,2,0,0,1,0,30.6958,0,1.0,1.0,0
176,5.0,3,1,1,1,1,0,7.8542,2,0.0,0.0,0
178,12.0,1,2,0,0,0,2,28.7125,0,1.0,1.0,0
179,8.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
180,9.0,3,1,0,0,1,0,0.0,0,1.0,0.0,0
183,3.0,3,1,4,2,1,3,31.3875,6,0.0,0.0,0
184,2.0,2,1,2,1,1,3,39.0,3,0.0,1.0,1
185,2.0,3,1,0,2,0,2,22.025,2,0.0,0.0,1
188,11.0,1,1,0,0,1,0,26.55,0,1.0,0.0,1
189,10.0,3,3,1,1,1,0,15.5,2,0.0,0.0,0
190,9.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
191,8.0,2,1,0,0,0,1,13.0,0,1.0,0.0,1
192,5.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
193,5.0,3,1,1,0,0,2,7.8542,1,0.0,0.0,1
194,2.0,2,1,1,1,1,3,26.0,2,0.0,1.0,1
195,10.0,1,2,0,0,0,1,27.7208,0,1.0,1.0,1
196,13.0,1,2,0,0,0,2,146.5208,0,1.0,1.0,1
198,10.0,3,1,0,1,1,0,8.4042,1,0.0,0.0,0
200,6.0,2,1,0,0,0,2,13.0,0,1.0,0.0,0
201,7.0,3,1,0,0,1,0,9.5,0,1.0,0.0,0
203,8.0,3,1,0,0,1,0,6.4958,0,1.0,0.0,0
204,11.0,3,2,0,0,1,0,7.225,0,1.0,0.0,0
205,5.0,3,1,0,0,1,0,8.05,0,1.0,0.0,1
206,2.0,3,1,0,1,0,2,10.4625,1,0.0,1.0,0
207,8.0,3,1,1,0,1,0,15.85,1,0.0,0.0,0
208,7.0,3,2,0,0,1,0,18.7875,0,1.0,0.0,1
209,5.0,3,3,0,0,0,2,7.75,0,1.0,0.0,1
210,10.0,1,2,0,0,1,0,31.0,0,1.0,1.0,1
211,6.0,3,1,0,0,1,0,7.05,0,1.0,0.0,0
212,9.0,2,1,0,0,0,2,21.0,0,1.0,0.0,1
213,6.0,3,1,0,0,1,0,7.25,0,1.0,0.0,0
214,8.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
216,8.0,1,2,1,0,0,2,113.275,1,0.0,1.0,1
217,7.0,3,1,0,0,0,2,7.925,0,1.0,0.0,1
218,10.0,2,1,1,0,1,0,27.0,1,0.0,0.0,0
219,8.0,1,2,0,0,0,2,76.2917,0,1.0,1.0,1
220,8.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
221,5.0,3,1,0,0,1,0,8.05,0,1.0,0.0,1
222,7.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
223,12.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
225,9.0,1,1,1,0,1,0,90.0,1,0.0,1.0,1
226,6.0,3,1,0,0,1,0,9.35,0,1.0,0.0,0
227,5.0,2,1,0,0,1,0,10.5,0,1.0,0.0,1
228,6.0,3,1,0,0,1,0,7.25,0,1.0,0.0,0
229,5.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
231,9.0,1,1,1,0,0,1,83.475,1,0.0,1.0,1
232,7.0,3,1,0,0,1,0,7.775,0,1.0,0.0,0
233,13.0,2,1,0,0,1,0,13.5,0,1.0,0.0,0
234,3.0,3,1,4,2,0,2,31.3875,6,0.0,0.0,1
235,6.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
237,10.0,2,1,1,0,1,0,26.0,1,0.0,0.0,0
238,3.0,2,1,0,2,0,2,26.25,2,0.0,0.0,1
239,5.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
240,8.0,2,1,0,0,1,0,12.275,0,1.0,0.0,0
243,7.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
244,6.0,3,1,0,0,1,0,7.125,0,1.0,0.0,0
245,8.0,3,2,0,0,1,0,7.225,0,1.0,0.0,0
246,10.0,1,3,2,0,1,6,90.0,2,0.0,1.0,0
247,7.0,3,1,0,0,0,2,7.775,0,1.0,0.0,0
248,6.0,2,1,0,2,0,1,14.5,2,0.0,0.0,1
249,9.0,1,1,1,1,1,0,52.5542,2,0.0,1.0,1
250,12.0,2,1,1,0,1,5,26.0,1,0.0,0.0,0
252,7.0,3,1,1,1,0,1,10.4625,2,0.0,1.0,0
253,14.0,1,1,0,0,1,0,26.55,0,1.0,1.0,0
254,8.0,3,1,1,0,1,0,16.1,1,0.0,0.0,0
255,10.0,3,1,0,2,0,1,20.2125,2,0.0,0.0,0
256,7.0,3,2,0,2,0,1,15.2458,2,0.0,0.0,1
258,8.0,1,1,0,0,0,2,86.5,0,1.0,1.0,1
259,9.0,1,2,0,0,0,2,512.3292,0,1.0,0.0,1
260,12.0,2,1,0,1,0,1,26.0,1,0.0,0.0,1
262,2.0,3,1,4,2,1,3,31.3875,6,0.0,0.0,1
263,12.0,1,1,1,1,1,0,79.65,2,0.0,1.0,0
264,10.0,1,1,0,0,1,0,0.0,0,1.0,1.0,0
266,9.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
267,5.0,3,1,4,1,1,0,39.6875,5,0.0,0.0,0
268,7.0,3,1,1,0,1,0,7.775,1,0.0,0.0,1
269,13.0,1,1,0,1,0,1,153.4625,1,0.0,1.0,1
270,9.0,1,1,0,0,0,2,135.6333,0,1.0,1.0,1
272,7.0,3,1,0,0,1,0,0.0,0,1.0,0.0,1
273,10.0,2,1,0,1,0,1,19.5,1,0.0,0.0,1
274,9.0,1,2,0,1,1,0,29.7,1,0.0,1.0,0
276,14.0,1,1,1,0,0,2,77.9583,1,0.0,1.0,1
277,11.0,3,1,0,0,0,2,7.75,0,1.0,0.0,0
279,3.0,3,3,4,1,1,3,29.125,5,0.0,0.0,0
280,9.0,3,1,1,1,0,1,20.25,2,0.0,0.0,1
281,15.0,3,3,0,0,1,0,7.75,0,1.0,0.0,0
282,7.0,3,1,0,0,1,0,7.8542,0,1.0,0.0,0
283,5.0,3,1,0,0,1,0,9.5,0,1.0,0.0,0
284,5.0,3,1,0,0,1,0,8.05,0,1.0,0.0,1
286,8.0,3,2,0,0,1,0,8.6625,0,1.0,0.0,0
287,8.0,3,1,0,0,1,0,9.5,0,1.0,0.0,1
288,6.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
289,10.0,2,1,0,0,1,0,13.0,0,1.0,0.0,1
290,6.0,3,3,0,0,0,2,7.75,0,1.0,0.0,1
291,7.0,1,1,0,0,0,2,78.85,0,1.0,0.0,1
292,5.0,1,2,1,0,0,1,91.0792,1,0.0,1.0,1
293,9.0,2,2,0,0,1,0,12.875,0,1.0,1.0,0
294,6.0,3,1,0,0,0,2,8.85,0,1.0,0.0,0
295,6.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
297,6.0,3,2,0,0,1,0,7.2292,0,1.0,0.0,0
298,2.0,1,1,1,2,0,2,151.55,3,0.0,1.0,0
300,12.0,1,2,0,1,0,1,247.5208,1,0.0,1.0,1
303,5.0,3,1,0,0,1,0,0.0,0,1.0,0.0,0
306,1.0,1,1,1,2,1,3,151.55,3,0.0,1.0,1
308,5.0,1,2,1,0,0,1,108.9,1,0.0,1.0,1
309,8.0,2,2,1,0,1,0,24.0,1,0.0,0.0,0
310,8.0,1,2,0,0,0,2,56.9292,0,1.0,1.0,1
311,6.0,1,2,0,0,0,2,83.1583,0,1.0,1.0,1
312,5.0,1,2,2,2,0,2,262.375,4,0.0,1.0,1
313,7.0,2,1,1,1,0,1,26.0,2,0.0,0.0,0
314,7.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
315,10.0,2,1,1,1,1,0,26.25,2,0.0,0.0,0
316,7.0,3,1,0,0,0,2,7.8542,0,1.0,0.0,1
317,6.0,2,1,1,0,0,1,26.0,1,0.0,0.0,1
318,12.0,2,1,0,0,1,6,14.0,0,1.0,0.0,0
319,8.0,1,1,0,2,0,2,164.8667,2,0.0,1.0,1
320,10.0,1,2,1,1,0,1,134.5,2,0.0,1.0,1
321,6.0,3,1,0,0,1,0,7.25,0,1.0,0.0,0
322,7.0,3,1,0,0,1,0,7.8958,0,1.0,0.0,0
323,8.0,2,3,0,0,0,2,12.35,0,1.0,0.0,1
324,6.0,2,1,1,1,0,1,29.0,2,0.0,0.0,1
326,9.0,1,2,0,0,0,2,135.6333,0,1.0,1.0,1
327,14.0,3,1,0,0,1,0,6.2375,0,1.0,0.0,0
328,9.0,2,1,0,0,0,1,13.0,0,1.0,1.0,1
329,8.0,3,1,1,1,0,1,20.525,2,0.0,0.0,1
330,5.0,1,2,0,1,0,2,57.9792,1,0.0,1.0,1
332,11.0,1,1,0,0,1,0,28.5,0,1.0,1.0,0
333,9.0,1,1,0,1,1,0,153.4625,1,0.0,1.0,0
334,5.0,3,1,2,0,1,0,18.0,2,0.0,0.0,0
337,7.0,1,1,1,0,1,0,66.6,1,0.0,1.0,0
338,10.0,1,2,0,0,0,2,134.5,0,1.0,1.0,1
339,11.0,3,1,0,0,1,0,8.05,0,1.0,0.0,1
340,11.0,1,1,0,0,1,0,35.5,0,1.0,1.0,0
341,2.0,2,1,1,1,1,3,26.0,2,0.0,1.0,1
342,6.0,1,1,3,2,0,2,263.0,5,0.0,1.0,1
343,7.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
344,7.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
345,9.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
346,6.0,2,1,0,0,0,2,13.0,0,1.0,1.0,1
347,10.0,2,1,0,0,0,2,13.0,0,1.0,0.0,1
349,2.0,3,1,1,1,1,3,15.9,2,0.0,0.0,1
350,10.0,3,1,0,0,1,0,8.6625,0,1.0,0.0,0
351,6.0,3,1,0,0,1,0,9.225,0,1.0,0.0,0
353,5.0,3,2,1,1,1,0,7.2292,2,0.0,0.0,0
354,7.0,3,1,1,0,1,0,17.8,1,0.0,0.0,0
356,7.0,3,1,0,0,1,0,9.5,0,1.0,0.0,0
357,6.0,1,1,0,1,0,2,55.0,1,0.0,1.0,1
358,9.0,2,1,0,0,0,2,13.0,0,1.0,0.0,0
361,10.0,3,1,1,4,1,0,27.9,5,0.0,0.0,0
362,7.0,2,2,1,0,1,0,27.7208,1,0.0,0.0,0
363,11.0,3,2,0,1,0,1,14.4542,1,0.0,0.0,0
364,9.0,3,1,0,0,1,0,7.05,0,1.0,0.0,0
366,8.0,3,1,0,0,1,0,7.25,0,1.0,0.0,0
367,14.0,1,2,1,0,0,1,75.25,1,0.0,1.0,1
370,6.0,1,2,0,0,0,7,69.3,0,1.0,1.0,1
371,7.0,1,2,1,0,1,0,55.4417,1,0.0,1.0,1
372,5.0,3,1,1,0,1,0,6.4958,1,0.0,0.0,0
373,5.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
374,6.0,1,2,0,0,1,0,135.6333,0,1.0,0.0,0
375,2.0,3,1,3,1,0,2,21.075,4,0.0,0.0,0
377,6.0,3,1,0,0,0,2,7.25,0,1.0,0.0,1
378,7.0,1,2,0,2,1,0,211.5,2,0.0,1.0,0
379,6.0,3,2,0,0,1,0,4.0125,0,1.0,0.0,0
380,5.0,3,1,0,0,1,0,7.775,0,1.0,0.0,0
381,10.0,1,2,0,0,0,2,227.525,0,1.0,0.0,1
382,2.0,3,2,0,2,0,2,15.7417,2,0.0,0.0,1
383,8.0,3,1,0,0,1,0,7.925,0,1.0,0.0,0
384,9.0,1,1,1,0,0,1,52.0,1,0.0,0.0,1
386,5.0,2,1,0,0,1,0,73.5,0,1.0,0.0,0
387,2.0,3,1,5,2,1,3,46.9,7,0.0,0.0,0
388,9.0,2,1,0,0,0,2,13.0,0,1.0,0.0,1
390,5.0,2,2,0,0,0,2,12.0,0,1.0,0.0,1
391,9.0,1,1,1,2,1,0,120.0,3,0.0,1.0,1
392,6.0,3,1,0,0,1,0,7.7958,0,1.0,0.0,1
393,7.0,3,1,2,0,1,0,7.925,2,0.0,0.0,0
394,6.0,1,2,1,0,0,2,113.275,1,0.0,1.0,1
395,6.0,3,1,0,2,0,1,16.7,2,0.0,1.0,1
396,6.0,3,1,0,0,1,0,7.7958,0,1.0,0.0,0
397,8.0,3,1,0,0,0,2,7.8542,0,1.0,0.0,0
398,11.0,2,1,0,0,1,0,26.0,0,1.0,0.0,0
399,6.0,2,1,0,0,1,6,10.5,0,1.0,0.0,0
400,7.0,2,1,0,0,0,1,12.65,0,1.0,0.0,1
401,9.0,3,1,0,0,1,0,7.925,0,1.0,0.0,1
402,7.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
403,6.0,3,1,1,0,0,2,9.825,1,0.0,0.0,0
404,7.0,3,1,1,0,1,0,15.85,1,0.0,0.0,0
405,6.0,3,1,0,0,0,2,8.6625,0,1.0,0.0,0
406,8.0,2,1,1,0,1,0,21.0,1,0.0,0.0,0
407,12.0,3,1,0,0,1,0,7.75,0,1.0,0.0,0
408,2.0,2,1,1,1,1,3,18.75,2,0.0,0.0,1
409,6.0,3,1,0,0,1,0,7.775,0,1.0,0.0,0
413,8.0,1,3,1,0,0,2,90.0,1,0.0,1.0,1
415,10.0,3,1,0,0,1,0,7.925,0,1.0,0.0,1
417,8.0,2,1,1,1,0,1,32.5,2,0.0,0.0,1
418,5.0,2,1,0,2,0,2,13.0,2,0.0,0.0,1
419,8.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
420,4.0,3,1,0,2,0,2,24.15,2,0.0,0.0,0
422,6.0,3,3,0,0,1,0,7.7333,0,1.0,0.0,0
423,7.0,3,1,0,0,1,0,7.875,0,1.0,0.0,0
424,7.0,3,1,1,1,0,1,14.4,2,0.0,0.0,0
425,5.0,3,1,1,1,1,0,20.2125,2,0.0,0.0,0
427,7.0,2,1,1,0,0,1,26.0,1,0.0,0.0,1
428,5.0,2,1,0,0,0,2,26.0,0,1.0,0.0,1
430,8.0,3,1,0,0,1,0,8.05,0,1.0,1.0,1
431,7.0,1,1,0,0,1,0,26.55,0,1.0,1.0,1
433,10.0,2,1,1,0,0,1,26.0,1,0.0,0.0,1
434,5.0,3,1,0,0,1,0,7.125,0,1.0,0.0,0
435,12.0,1,1,1,0,1,0,55.9,1,0.0,1.0,0
436,4.0,1,1,1,2,0,2,120.0,3,0.0,1.0,1
437,6.0,3,1,2,2,0,2,34.375,4,0.0,0.0,0
438,6.0,2,1,2,3,0,1,18.75,5,0.0,0.0,1
439,14.0,1,1,1,4,1,0,263.0,5,0.0,1.0,0
440,8.0,2,1,0,0,1,0,10.5,0,1.0,0.0,0
441,11.0,2,1,1,1,0,1,26.25,2,0.0,0.0,1
442,6.0,3,1,0,0,1,0,9.5,0,1.0,0.0,0
443,7.0,3,1,1,0,1,0,7.775,1,0.0,0.0,0
444,7.0,2,1,0,0,0,8,13.0,0,1.0,0.0,1
446,2.0,1,1,0,2,1,3,81.8583,2,0.0,1.0,1
447,4.0,2,1,0,1,0,2,19.5,1,0.0,0.0,1
448,8.0,1,1,0,0,1,0,26.55,0,1.0,0.0,1
449,3.0,3,2,2,1,0,2,19.2583,3,0.0,0.0,1
450,12.0,1,1,0,0,1,9,30.5,0,1.0,1.0,1
451,9.0,2,1,1,2,1,0,27.75,3,0.0,0.0,0
453,8.0,1,2,0,0,1,0,27.75,0,1.0,1.0,0
454,11.0,1,2,1,0,1,0,89.1042,1,0.0,1.0,1
456,7.0,3,2,0,0,1,0,7.8958,0,1.0,0.0,1
457,15.0,1,1,0,0,1,0,26.55,0,1.0,1.0,0
459,12.0,2,1,0,0,0,2,10.5,0,1.0,0.0,1
461,11.0,1,1,0,0,1,0,26.55,0,1.0,1.0,1
462,8.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
463,11.0,1,1,0,0,1,0,38.5,0,1.0,1.0,0
464,11.0,2,1,0,0,1,0,13.0,0,1.0,0.0,0
466,9.0,3,1,0,0,1,0,7.05,0,1.0,0.0,0
468,13.0,1,1,0,0,1,0,26.55,0,1.0,0.0,0
470,1.0,3,2,2,1,0,2,19.2583,3,0.0,0.0,1
472,9.0,3,1,0,0,1,0,8.6625,0,1.0,0.0,0
473,8.0,2,1,1,2,0,1,27.75,3,0.0,0.0,1
474,6.0,2,2,0,0,0,1,13.7917,0,1.0,1.0,1
475,6.0,3,1,0,0,0,2,9.8375,0,1.0,0.0,0
477,8.0,2,1,1,0,1,0,21.0,1,0.0,0.0,0
478,7.0,3,1,1,0,1,0,7.0458,1,0.0,0.0,0
479,6.0,3,1,0,0,1,0,7.5208,0,1.0,0.0,0
480,2.0,3,1,0,1,0,2,12.2875,1,0.0,0.0,1
481,3.0,3,1,5,2,1,3,46.9,7,0.0,0.0,0
483,12.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
484,14.0,3,1,0,0,0,1,9.5875,0,1.0,0.0,1
485,7.0,1,2,1,0,1,0,91.0792,1,0.0,1.0,1
487,9.0,1,1,1,0,0,1,90.0,1,0.0,1.0,1
488,13.0,1,2,0,0,1,0,29.7,0,1.0,1.0,0
489,8.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
490,3.0,3,1,1,1,1,3,15.9,2,0.0,0.0,1
492,6.0,3,1,0,0,1,0,7.25,0,1.0,0.0,0
493,13.0,1,1,0,0,1,0,30.5,0,1.0,1.0,0
494,16.0,1,2,0,0,1,0,49.5042,0,1.0,0.0,0
495,6.0,3,1,0,0,1,0,8.05,0,1.0,0.0,0
497,12.0,1,2,1,0,0,2,78.2667,1,0.0,1.0,1
499,7.0,1,1,1,2,0,1,151.55,3,0.0,1.0,0
500,6.0,3,1,0,0,1,0,7.7958,0,1.0,0.0,0
501,5.0,3,1,0,0,1,0,8.6625,0,1.0,0.0,0
502,6.0,3,3,0,0,0,2,7.75,0,1.0,0.0,0
504,9.0,3,1,0,0,0,2,9.5875,0,1.0,0.0,0
505,5.0,1,1,0,0,0,2,86.5,0,1.0,1.0,1
